id,hip,hd,hr,gl,bf,proper,dist,mag,absmag,spect,ci,x,y,z,bayer,flam,con,comp,comp_primary,base,lum,var
0,,,,,,Sol,0,-1.7,4.85,G2V,0.656,0.000005,0,0,,,,1,0,,1,
1,1,224700,,,,,219.7802,9.1,2.39,F5,0.482,219.740502,0.003449,4.177065,,,Psc,1,1,,9.638290236,
2,2,224690,,,,,47.9616,9.27,5.866,K3V,0.999,45.210918,0.003365,-16.008996,,,Cet,1,2,,0.392283463,
3,3,224699,,,,,442.4779,6.61,-1.619,B9,-0.019,344.552785,0.030213,277.614965,,,And,1,3,,386.9011317,
4,4,224707,,,,,134.2282,8.06,2.421,F0V,0.37,82.835513,0.012476,-105.61954,,,Phe,1,4,,9.36698878,
5,5,224705,,,,,257.732,8.55,1.494,G8III,0.902,195.714261,0.034068,-167.695291,,,Phe,1,5,,21.99885109,
6,6,,,,,,55.0358,12.31,8.607,M0V:,1.336,54.905296,0.017912,3.787796,,,Psc,1,6,,0.031419553,
7,7,,,,,,57.8704,9.64,5.828,G0,0.74,54.367897,0.020886,19.827115,,,Peg,1,7,,0.406256198,
8,8,224709,,,,,200.8032,9.05,2.536,M6e-M8.5e Tc,1.102,180.654532,0.086213,87.668389,,,Peg,1,8,,8.425583753,Z
9,9,224708,,,,,420.1681,8.59,0.473,G5,1.067,337.379614,0.207994,250.431996,,,And,1,9,,56.33781509,
10,10,224717,,,,,92.3361,8.59,3.763,F6V,0.489,58.275424,0.037038,-71.623522,,,Phe,1,10,,2.721447746,
11,11,224720,,,,,239.2344,7.34,0.446,A2,0.081,163.34042,0.106439,174.793831,,,And,1,11,,57.75638464,
12,12,224715,,,,,307.6923,8.43,0.989,K4III,1.484,249.053728,0.177782,-180.684145,,,Scl,1,12,,35.02676269,
13,13,224728,,,,,100000,8.8,-11.2,K0III,1.128,92324.54832,67.196978,-38421.00027,,,Cet,1,13,,2630267.992,
14,14,224726,,,,,205.7613,7.25,0.683,K0,1.2,205.757155,0.17389,-1.294442,,,Psc,1,14,,46.43014073,
15,15,236267,,,,,523.5602,8.6,0.005,K2,1.166,330.967664,0.290916,405.679189,,,Cas,1,15,,86.69618758,
16,17,224732,,,,,136.4256,8.15,2.476,F3V,0.425,104.212982,0.092744,-88.043116,,,Phe,1,16,,8.904304436,
17,16,,,,,,751.8797,11.71,2.329,,0.421,432.180376,0.395981,-615.258522,,,Phe,1,17,,10.19529978,
18,18,,,,,,44.8229,11.03,7.773,K5,1.567,44.710745,0.041225,-3.168578,,,Psc,1,18,,0.067732951,
19,19,224721,,,,,249.3766,6.53,-0.454,G5,0.955,195.693966,0.182078,154.572309,,,And,1,19,,132.3122333,
20,20,224723,,,,,96.6184,8.51,3.585,G0,0.516,88.585158,0.097476,38.571692,,,Peg,1,20,,3.206269325,
21,21,224724,,,,,189.3939,7.55,1.163,K2,1.438,187.547277,0.217307,26.382215,,,Psc,1,21,,29.84008116,
