id,hip,hd,hr,gl,bf,proper,dist,mag,absmag,spect,ci,x,y,z,bayer,flam,con,comp,comp_primary,base,lum,var
0,,,,,,Sol,0,-1,4.85,G2V,0.656,5.00E-06,0,0,,,,1,0,,1,
1,88,224834,9081,,Tau Phe,,181.8182,5.71,-0.588,G8III,0.911,119.736878,0.562356,-136.823418,Tau,,Phe,1,88,,149.6924857,
2,122,224889,9084,,The Oct,,66.5779,4.78,0.663,K2III,1.254,14.902031,0.103716,-64.888859,The,,Oct,1,122,,47.29334149,
3,145,224926,9087,,29    Psc,,139.2758,5.13,-0.589,B7III-IV,-0.128,139.077212,1.106982,-7.355907,,29,Psc,1,145,,149.8304211,
4,154,224935,9089,,30    Psc,,132.4503,4.37,-1.24,M3III,1.631,131.716394,1.126662,-13.877167,,30,Psc,1,154,,272.8977783,YY
5,171,224930,9088,Gl 914A,85    Peg,,12.1699,5.8,5.374,G3V,0.69,10.834733,0.102555,5.540428,,85,Peg,1,171,Gl 914,0.617163168,
6,183,224990,9091,,Zet Scl,,154.0832,5.04,-0.899,B4V,-0.15,133.807455,1.36158,-76.389577,Zet,,Scl,1,183,,199.3425456,
7,186,224995,9092,,31    Psc,,122.8501,6.33,0.883,A6V,0.182,121.345487,1.272247,19.126563,,31,Psc,1,186,,38.61890894,
8,194,225003,9093,,32    Psc,,36.9004,5.7,2.865,F0V,0.315,36.494389,0.397318,5.44498,,32,Psc,1,194,,6.223002852,
9,301,225132,9098,,2    Cet,,83.4725,4.55,-0.058,B9IVn,-0.047,79.670013,1.300177,-24.872663,,2,Cet,1,300,,91.87556017,
10,330,225180,9100,,9    Cas,,100000,5.9,-14.1,A1III,0.274,46495.3549,857.790357,88529.35184,,9,Cas,1,330,,38018939.63,
11,355,225212,9103,,3    Cet,,641.0256,4.99,-4.044,K3Ibvar,1.619,630.150175,12.379991,-116.922329,,3,Cet,1,355,,3610.771451,
12,443,28,3,,33    Psc,,39.4945,4.61,1.627,K1III,1.029,39.287997,0.914841,-3.927804,,33,Psc,1,441,,19.46256159,BC
13,476,87,4,,86    Peg,,114.2857,5.55,0.26,G5III,0.901,111.141705,2.764456,26.478222,,86,Peg,1,475,,68.54882265,
14,531,144,7,,10    Cas,,265.9574,5.57,-1.554,B9III,-0.023,115.723206,3.253833,239.438695,,10,Cas,1,530,,364.4181508,
15,677,358,15,,21Alp And,Alpheratz,29.7442,2.07,-0.297,B9p,-0.038,25.974572,0.951042,14.461264,Alp,21,And,1,676,,114.4985535,Alp
16,729,448,22,,87    Peg,,87.4126,5.57,0.862,G9III,1.043,82.969037,3.274515,27.319281,,87,Peg,1,727,,39.37313537,
17,746,432,21,Gl 8,11Bet Cas,Caph,16.7842,2.28,1.155,F2III-IV,0.38,8.600014,0.344589,14.409503,Bet,11,Cas,1,744,,30.06076303,Bet
18,761,493,24,,Kap1Scl,,77.4593,5.42,0.975,F3V,0.414,68.343305,2.790097,-36.350566,Kap-1,,Scl,1,759,,35.48133892,
19,765,496,25,Gl 9.1,Eps Phe,,44.2087,3.88,0.652,K0III,1.013,30.82377,1.266396,-31.665333,Eps,,Phe,1,763,,47.77492347,
20,813,560,26,,34    Psc,,93.633,5.54,0.683,B9V,-0.064,91.778975,4.021883,18.099895,,34,Psc,1,811,,46.43014073,
21,814,636,30,,Gam3Oct,,78.064,5.29,0.828,K1/K2III,1.049,10.551931,0.46238,-77.346312,Gam-3,,Oct,1,812,,40.62561982,
22,841,571,27,,22    And,,377.3585,5.01,-2.874,F2II,0.405,261.527194,11.785276,271.779391,,22,And,1,839,,1229.136173,
23,910,693,33,Gl 10,6    Cet,,18.7477,4.89,3.525,F5V,0.487,18.046958,0.887717,-5.000042,,6,Cet,1,908,,3.388441561,
24,930,720,34,,Kap2Scl,,243.309,5.41,-1.521,K2III,1.346,214.952607,10.864269,-113.475053,Kap-2,,Scl,1,928,,353.5086134,
25,950,739,35,GJ 3013,The Scl,,21.2766,5.24,3.6,F3/F5V,0.459,17.377471,0.890451,-12.244148,The,,Scl,1,948,,3.16227766,
